address,value,is_contract
0xced306BfCB4a057aE3905063fD601774F9F18730,11759165801230081667698,false
0xa7d6C4F24503024285fF49773a2ebfEd69B9C400,11205819256027436531996,false
0x8a6b6921c50D87A5EA828d1CFDf387Dff1eef5db,11093548049431883958800,false
0x490559b029C6ecAa2070d60f3820BcDF6bb491D9,10968846867163877762198,false
0xb3d1aCA9bF004d0da560930Cf9277c604eDf2283,9218135212623398251403,false
0x504DB0A01Caf27Fa108E0245F12af3504642148d,9177195218702443902045,false
0x51B535040CCdD5FD5CA51936335C335c69f016e0,8470863883388819848327,false
0x6d176c1376B610aC5C74aA92117aB8C01b64f620,7981485276612869886673,false
0x43e1CCFE765f6C2a09bbe63D456BCB1e85835fe5,7909623944246510131848,false
0x11fC7853944570C1F9D9EBE7Ac24e2FeFddf0314,7549129622572246654056,false
0x1D587C1DD8e744F62Ee0D8B2cb04aE4Db5F94cf2,7419581142472725667578,false
0xB70D6076ee01Be23C93aadF00754864c82cc44A8,7264761027216149116438,false
0x5b11f988f1B78D991a328Fc60dCe76f726dDF5E9,7237915464738546616230,false
0x33fB9032a46393eFbC22b4B43dd736f9BC20774a,7174423598309746273931,false
0xBD73cF5baf12F120Ee3f6C4ad82df9a12649e578,7156523608348899926126,false
0x49Db86Cd04A63649ef9F9905963BaEf7DaD0c9Bc,7152404446670979308416,false
0x0E42a09F7A8faE1211A26b78E8A1937fC8aD79FE,6724589185876430393252,false
0xd23d8aeaD200401091022e5c4304b32b56042808,6607422555916579536122,false
0xF0c09d91aA30E491e1A3A20C6FD35838257E2648,6060664280304940667812,false
0x7052E7305d42F1D25e6Dd7D39af36a86b9eFA6fe,6039914018409220992433,false
0x703EE58AC2bbC219De04014F3210202C5d82070A,5873690414012522625910,false
0x1d098a8d7FA63a39e0884b720f86F9bA8cbbEeF1,5751175686099796438177,false
0x04FcF80EC93BB60663AECFCb9895e50b61d79357,5728159587523814971423,false
0xE43c0F5a3d26B035a3b93C24bE7536B2623DE8Af,5559186239994797705737,false
