address,value,is_contract
0xd7944452C21eC02AB3E78b7593Fe7b05018E3A5a,6491439908,false
0xD22ADba687aAd7DD9CEC3b18D970C581734783bA,5937805850,false
0xA84fE466486223FA9BbA2dD3ecFb5C1100311711,5887732452,false
0x51B535040CCdD5FD5CA51936335C335c69f016e0,5802731739,false
0xC20e318fe1830DE929bB8eE57F6209a89F0ab00F,5728638703,false
0xC89a761d1A596e41D8FFfe2A79cDA93CF6dCe028,5531594536,false
0x2b4cA6D55d6D7d18e321d2089E85543A1481c953,5476038000,false
0x1d098a8d7FA63a39e0884b720f86F9bA8cbbEeF1,5448695148,false
0x72Ea177FC9Ed87BdC17066256DffBbb0d65d6565,5149074635,false
0xf44d2de073528bA2231b4863bb841eeB8594C3ab,4806701026,false
0xf2edB09716CF44235c03601548F2373B0A3e4f37,4672952142,false
0x9CE6E6B60C894d1DF9BC3D9D6cC969b79FB176B7,4569755980,false
0xAFAbcc73be8C1678B4C0eaB18C73cdbf83134781,4419047754,false
0xF5B905Bd11A7a42b5f2Fdf334Ac8377390BC7268,4404558339,false
0x328c9417A862dF04255C9744Af4D59E326063DDE,4396241811,false
0xd5B54608F7DD5c1e5ca5e416E9D365E15b5221E0,4390717107,false
0xd23d8aeaD200401091022e5c4304b32b56042808,4384577595,false
0xA9475Bb40a256E0636B5b5aB3d4E0163C2A5D5fA,4370504581,false
0xc35bD2A5AA0c09516e8defA771ef304aDbf6BEcf,4200998167,false
0xc467d8Da063F0C55248344F8DB227bCd71Af21A6,4174664344,false
0xdf1b8C988a60aB180cbb35D102C2824215310796,4007152409,false
0x3d72971b117EE8EF445D138557151f66CB0D408F,3844222294,false
0x5c9C6a11094835f47Be940Faad702985489e4De8,3693987866,false
0xA9f7b86FCC86EA1b913dDcaB8c9514a8e677666E,3585425750,false
0x3476B93ca9f6aA6538844C3099798F0d07BBC834,3520411777,false
0x7447A96d0b37C20f5d04A33c5a94035c4a3997ba,3330986110,false
0x02689A71733DaEA3E62e62308F5f8FDF8Fa59341,3255379677,false
0xDFF503F1F9CB7F7Ea03231205a3D9687A82ae7A3,2983917785,false
0xB438Dbaae78225eEfcDBB04E207A8eFB06036a2c,2977022152,false
0x91eD6f531d6de80c22C55D2c223BE919CfC3E08a,2969015462,false
0x03f2dc109e39C1aC6FFd15702634720FC3c4623b,2964850952,false
0xCF263cEe139763114fAaFC5F52865135412F50Ec,2873209340,false
0xC03D7825d2b3EC9D73D581802Ab49301C4EBB4D5,2780807446,false
0x08F7bbccCf57f0f73f4f091948bfB20F24de8fB8,2770991614,false
0x7f67c538f2398C1130b89E7c7327A6B13811edB3,2755373120,false
0x3daB62f33E7032bD33C532808092D033887EB456,2585700658,false
0x552c87b8ceaD714ADE34F40FD1584218e12119d3,2533834582,false
0x7F92a187d17bDaE046B1Bc6C6D9241A6B3121317,2514190402,false
0x14A7123bF8A597378B6248ce02B064dbf9a295a8,2400430809,false
0xFC9fb4C94e7d21F5789abba90973E25020f896c6,2389043547,false
0x4f2421553E571627C6801521316732693016d9cF,2374426122,false
0x8896e0833d371A358eE06EbA7D4052D3e69AA189,2364608959,false
0x3af4A49C8E2FcaF33Fd3389543B80D320FCC9091,2325630942,false
0xd8d913aA463FCAd08a66e922db515293C3563809,2311834110,false
0x3295A9B4EEfD7bB369fE4be6124D56c5FbD1CfB9,2305238299,false
0xc3D96a1EfB52F1Ed9BDea139e2D82ee29AB338f9,2270550535,false
0x544a40955bA1C7e56E161a59E1319e3313C25251,2263033303,false
0x40F832B71D2C525A9aa4b4908Ec511Ed93c8a308,2238553329,false
0x0eBa5721065f961Bced568527BFa03eA9eD61a00,2202946325,false
0x6f199F00655e0D3e9c1f2B654570758CA1e33759,2172372016,false
0xFC1F52f80b84D2dD4835f82A454aEA06DeC37864,2146111991,false
0x1994503F24AfBeA319ff876Fc12A599A61Ce0A57,2145463097,false
